user1@gmail.com,fullname1,22,15
user2@gmail.com,fullname2,20,30
user3@gmail.com,fullname3,20,22
user4@gmail.com,fullname4,18,15
user5@gmail.com,fullname5,21,10
user6@gmail.com,fullname6,20,9
user7@gmail.com,fullname7,22,19
user8@gmail.com,fullname8,21,10
user9@gmail.com,fullname9,22,13
user10@gmail.com,fullname10,18,18
user11@gmail.com,fullname11,31,5
user12@gmail.com,fullname12,32,17
user13@gmail.com,fullname13,37,20
user14@gmail.com,fullname14,33,20
user15@gmail.com,fullname15,40,26
user16@gmail.com,fullname16,40,11
user17@gmail.com,fullname17,33,19
user18@gmail.com,fullname18,31,19
user19@gmail.com,fullname19,40,20
user20@gmail.com,fullname20,32,22
user21@gmail.com,fullname21,62,13
user22@gmail.com,fullname22,58,28
user23@gmail.com,fullname23,64,5
user24@gmail.com,fullname24,59,24
user25@gmail.com,fullname25,46,30
user26@gmail.com,fullname26,61,22
user27@gmail.com,fullname27,63,7
user28@gmail.com,fullname28,58,28
user29@gmail.com,fullname29,63,11
user30@gmail.com,fullname30,49,7
