post_id_0,food,2021-03-14,user1@gmail.com
post_id_1,drink,2022-11-29,user1@gmail.com
post_id_2,drink,2022-11-19,user1@gmail.com
post_id_3,food,2019-09-18,user1@gmail.com
post_id_4,drink,2018-10-03,user1@gmail.com
post_id_5,food,2018-12-24,user1@gmail.com
post_id_6,drink,2020-01-01,user1@gmail.com
post_id_7,drink,2022-06-07,user1@gmail.com
post_id_8,drink,2021-05-01,user1@gmail.com
post_id_9,food,2021-04-06,user1@gmail.com
post_id_10,drink,2019-03-09,user1@gmail.com
post_id_11,drink,2019-05-09,user1@gmail.com
post_id_12,drink,2022-05-23,user1@gmail.com
post_id_13,food,2020-02-21,user1@gmail.com
post_id_14,drink,2019-05-16,user1@gmail.com
post_id_15,drink,2021-01-12,user1@gmail.com
post_id_16,drink,2018-06-02,user1@gmail.com
post_id_17,food,2020-08-03,user1@gmail.com
post_id_18,drink,2022-09-28,user1@gmail.com
post_id_19,food,2018-09-17,user1@gmail.com
post_id_20,food,2021-04-14,user1@gmail.com
post_id_21,drink,2021-05-29,user1@gmail.com
post_id_22,drink,2019-03-17,user1@gmail.com
post_id_23,drink,2018-04-29,user1@gmail.com
post_id_24,food,2020-07-20,user1@gmail.com
post_id_25,drink,2019-02-25,user1@gmail.com
post_id_26,drink,2022-07-13,user1@gmail.com
post_id_27,drink,2021-10-28,user1@gmail.com
post_id_28,food,2019-09-16,user1@gmail.com
post_id_29,food,2019-07-17,user1@gmail.com
post_id_30,drink,2018-02-23,user1@gmail.com
post_id_31,food,2019-08-11,user1@gmail.com
post_id_32,food,2020-11-07,user1@gmail.com
post_id_33,drink,2022-04-03,user1@gmail.com
post_id_34,drink,2021-09-07,user1@gmail.com
post_id_35,food,2019-06-26,user1@gmail.com
post_id_36,drink,2019-06-17,user1@gmail.com
post_id_37,food,2020-06-19,user1@gmail.com
post_id_38,food,2018-04-03,user1@gmail.com
post_id_39,drink,2018-09-11,user1@gmail.com
post_id_40,food,2022-08-22,user1@gmail.com
post_id_41,food,2019-03-09,user1@gmail.com
post_id_42,food,2018-01-17,user1@gmail.com
post_id_43,drink,2022-10-16,user1@gmail.com
post_id_44,drink,2020-08-06,user1@gmail.com
post_id_45,food,2021-07-08,user1@gmail.com
post_id_46,drink,2022-01-02,user1@gmail.com
post_id_47,food,2021-02-06,user1@gmail.com
post_id_48,food,2022-01-16,user1@gmail.com
post_id_49,drink,2022-03-13,user1@gmail.com
post_id_50,drink,2020-06-15,user1@gmail.com
post_id_51,drink,2019-09-02,user1@gmail.com
post_id_52,food,2020-01-30,user1@gmail.com
post_id_53,food,2019-04-29,user1@gmail.com
post_id_54,drink,2018-01-07,user1@gmail.com
post_id_55,drink,2022-04-29,user1@gmail.com
post_id_56,food,2022-03-23,user1@gmail.com
post_id_57,food,2021-04-23,user1@gmail.com
post_id_58,drink,2019-10-20,user1@gmail.com
post_id_59,food,2018-06-10,user1@gmail.com
post_id_60,food,2022-11-04,user1@gmail.com
post_id_61,drink,2018-04-24,user1@gmail.com
post_id_62,drink,2019-02-07,user1@gmail.com
post_id_63,drink,2022-11-23,user1@gmail.com
post_id_64,food,2018-08-21,user1@gmail.com
post_id_65,drink,2021-03-06,user1@gmail.com
post_id_66,drink,2022-07-04,user1@gmail.com
post_id_67,food,2021-04-28,user1@gmail.com
post_id_68,drink,2019-07-02,user1@gmail.com
post_id_69,drink,2019-08-23,user1@gmail.com
post_id_70,food,2019-04-17,user1@gmail.com
post_id_71,food,2022-04-29,user1@gmail.com
post_id_72,drink,2020-06-30,user2@gmail.com
post_id_73,drink,2022-08-24,user2@gmail.com
post_id_74,food,2021-01-14,user2@gmail.com
post_id_75,food,2018-07-09,user2@gmail.com
post_id_76,food,2022-12-13,user2@gmail.com
post_id_77,drink,2019-05-07,user2@gmail.com
post_id_78,food,2021-06-14,user2@gmail.com
post_id_79,drink,2020-01-04,user2@gmail.com
post_id_80,food,2021-07-04,user2@gmail.com
post_id_81,drink,2021-07-03,user2@gmail.com
post_id_82,drink,2021-01-13,user2@gmail.com
